listing_id,date
4008423,2018-02-10
4008423,2018-02-16
4008423,2018-02-19
4008423,2018-02-26
4008423,2018-03-04
4008423,2018-03-08
4008423,2018-03-17
4008423,2018-03-18
4008423,2018-03-20
4008423,2018-03-22
4008423,2018-03-27
4008423,2018-04-03
4008423,2018-04-08
4008423,2018-04-09
4008423,2018-04-12
4008423,2018-04-15
4008423,2018-04-17
4008423,2018-04-18
4008423,2018-04-22
4008423,2018-05-05
4008423,2018-05-06
4008423,2018-05-08
4008423,2018-05-09
4008423,2018-06-11
4008423,2018-06-18
4008423,2018-06-19
4008423,2018-06-21
4008423,2018-07-04
4008423,2018-07-09
4008423,2018-07-13
4008423,2018-07-19
4008423,2018-07-25
4008423,2018-07-30
4008423,2018-08-05
4008423,2018-08-09
4008423,2018-08-14
4008423,2018-08-16
4008423,2018-08-21
4008423,2018-08-30
4008423,2018-08-31
4008423,2018-09-03
4008423,2018-09-05
4008423,2018-09-16
4008423,2018-09-20
4008423,2018-10-15
4008423,2018-10-21
4008423,2018-10-26
4008423,2018-10-29
4008423,2018-11-24
4008423,2018-12-10
4008423,2018-12-16
4008423,2018-12-18
4008423,2018-12-24
4008423,2018-12-26
4008423,2018-12-27
4008423,2019-01-02
4008423,2019-01-04
4008423,2019-01-20
4008423,2019-01-22
4008423,2019-01-24
4008423,2019-01-25
4008423,2019-01-27
4008423,2019-02-01
4008423,2019-02-08
4008423,2019-02-13
4008423,2019-02-15
4008423,2019-02-24
4008423,2019-03-01
4008423,2019-03-08
4008423,2019-03-11
4008423,2019-03-12
4008423,2019-03-15
4008423,2019-03-24
4008423,2019-03-27
4008423,2019-03-30
4008423,2019-04-03
4008423,2019-04-10
4008423,2019-04-15
4008423,2019-04-30
4008423,2019-05-04
4008423,2019-06-08
71903,2015-12-13
71903,2016-01-26
4008423,2019-06-16
4008423,2019-06-17
4008423,2019-06-19
4008423,2019-06-23
4008423,2019-06-25
4008423,2019-06-27
4008423,2019-07-04
4008423,2019-07-20
4008423,2019-07-23
4008423,2019-07-24
4008423,2019-07-26
4008423,2019-08-03
4008423,2019-08-07
71903,2016-04-14
71903,2016-07-02
71903,2016-09-05
71903,2017-03-06
71903,2017-08-27
71903,2017-09-08
71903,2018-02-28
71903,2018-05-22
71903,2018-06-30
71903,2018-08-27
71903,2019-02-09
71903,2019-03-17
71903,2019-04-01
71903,2019-04-28
71903,2019-05-29
71903,2019-06-21
71903,2019-07-05
71903,2019-07-08
71903,2019-07-22
4008423,2019-08-08
71903,2019-08-15
71903,2019-09-09
71903,2019-09-19
71903,2019-09-21
71903,2019-09-22
71903,2019-10-21
71903,2019-10-23
71903,2019-11-17
71903,2019-11-26
71903,2020-01-09
275343,2013-04-20
4008423,2019-08-10
4008423,2019-08-12
4008423,2019-08-13
4008423,2019-08-16
4008423,2019-09-06
4008423,2019-09-09
4008423,2019-09-12
4008423,2019-09-14
4008423,2019-09-16
4008423,2019-09-29
4008423,2019-10-06
4008423,2019-11-02
4008423,2019-11-12
4008423,2019-11-15
4008423,2019-11-17
4008423,2019-12-02
4008423,2019-12-07
4008423,2020-01-13
275343,2013-07-08
275343,2013-07-23
275343,2013-11-19
275343,2015-02-20
275343,2015-03-21
275343,2015-06-14
275343,2015-07-26
275343,2015-10-17
275343,2016-05-24
275343,2016-07-31
275343,2016-12-05
275343,2017-09-09
275343,2018-03-06
275343,2018-04-08
275343,2019-01-02
275343,2019-02-17
275343,2019-04-21
275343,2019-10-17
275343,2020-04-17
275343,2022-05-15
275343,2022-08-13
275344,2012-04-26
4008423,2020-01-27
4008423,2020-01-31
4008423,2022-05-11
275344,2013-03-08
275344,2013-08-28
275344,2013-08-30
4008423,2022-05-15
275344,2013-09-29
275344,2014-01-26
275344,2014-12-05
4008423,2022-06-26
4008423,2022-06-28
4008423,2022-07-06
4008423,2022-07-16
4008423,2022-07-26
4008423,2022-08-04
4008423,2022-08-19
4008423,2022-08-22
4008423,2022-09-05
4008423,2022-09-22
4008423,2022-09-26
4008423,2022-10-03
4008423,2022-10-06
4008423,2022-10-11
4008423,2022-10-21
4008423,2022-10-30
4008423,2022-11-20
275344,2015-01-06
275344,2015-07-13
275344,2018-09-13
275344,2019-11-28
275344,2020-04-05
275344,2020-12-27
275344,2022-07-09
275344,2023-03-23
275344,2023-07-24
275344,2023-08-16
289234,2012-07-05
289234,2013-08-11
289234,2014-07-19
289234,2014-09-20
289234,2015-01-17
289234,2015-08-01
289234,2016-01-01
289234,2016-04-26
289234,2018-04-29
289234,2018-06-18
289234,2018-12-28
289234,2019-01-01
294281,2012-01-28
4008423,2022-11-30
4008423,2022-12-09
4008423,2023-01-08
4008423,2023-02-18
4008423,2023-03-01
294281,2012-03-04
294281,2012-03-09
294281,2012-04-09
294281,2012-04-20
294281,2012-04-23
294281,2012-04-26
294281,2012-05-10
294281,2012-05-19
294281,2012-05-23
4008423,2023-03-12
4008423,2023-04-01
4008423,2023-04-28
4008423,2023-04-30
4008423,2023-05-12
4008423,2023-05-13
4008423,2023-05-16
4008423,2023-05-18
4008423,2023-06-17
4008423,2023-06-18
4008423,2023-06-25
294281,2012-05-25
294281,2012-06-14
294281,2012-06-18
294281,2012-06-30
294281,2012-07-03
294281,2012-07-13
294281,2012-07-18
294281,2012-07-26
294281,2012-07-30
294281,2012-08-05
294281,2012-08-18
4008423,2023-06-26
4008423,2023-07-11
4008423,2023-07-16
4008423,2023-07-23
4008423,2023-07-24
4008423,2023-07-25
4008423,2023-07-28
4008423,2023-08-04
4008423,2023-08-11
4008423,2023-08-12
4008423,2023-08-14
4008423,2023-08-15
4008423,2023-08-17
4008423,2023-08-19
4008423,2023-08-26
4008423,2023-08-28
4008423,2023-09-10
4008423,2023-09-11
294281,2012-10-05
294281,2012-11-11
4008423,2023-09-13
294281,2013-01-29
4008423,2023-09-14
4008423,2023-09-17
294281,2013-02-15
294281,2013-02-17
294281,2013-03-05
294281,2013-03-13
294281,2013-04-21
294281,2013-04-27
4054698,2014-12-17
294281,2013-06-05
294281,2013-06-10
294281,2013-06-18
4054698,2014-12-27
4054698,2015-02-09
4054698,2015-06-22
4054698,2015-07-01
4054698,2015-08-20
294281,2013-06-22
4054698,2015-08-31
4054698,2015-09-22
294281,2013-06-27
4054698,2016-02-18
4054698,2016-06-05
4054698,2016-06-12
4054698,2016-07-29
4054698,2016-08-12
4054698,2016-08-15
4054698,2016-08-24
4054698,2016-08-29
4054698,2017-01-11
4054698,2017-01-29
4054698,2017-02-24
4054698,2017-03-08
4054698,2017-03-15
4054698,2017-05-29
4054698,2017-06-11
4054698,2017-06-25
4054698,2017-07-08
4054698,2017-08-25
4054698,2017-09-03
4054698,2017-09-05
4054698,2017-09-14
4054698,2017-12-09
4054698,2018-01-25
4054698,2018-02-08
294281,2013-06-30
4054698,2018-02-13
4054698,2018-06-25
4054698,2018-07-01
4054698,2018-07-09
294281,2013-07-05
294281,2013-07-07
294281,2013-07-21
294281,2013-07-29
294281,2013-08-02
294281,2013-08-20
294281,2013-08-29
4054698,2018-08-19
4054698,2018-08-28
4054698,2018-09-08
4054698,2019-01-14
4054698,2019-03-19
4054698,2019-04-28
4054698,2019-05-07
4054698,2019-08-11
4054698,2019-09-15
4054698,2019-10-11
4054698,2019-10-12
294281,2013-09-03
294281,2013-09-07
294281,2013-09-19
294281,2013-09-27
4054698,2019-12-25
4054698,2020-01-01
294281,2013-10-01
4069756,2014-11-24
4069756,2015-06-01
4069756,2015-06-14
294281,2013-10-11
294281,2013-10-19
294281,2013-10-30
294281,2013-11-07
294281,2013-11-26
294281,2013-12-04
294281,2013-12-07
4069756,2015-07-12
4069756,2015-07-17
4069756,2015-07-30
4069756,2015-08-20
4069756,2015-12-09
4069756,2016-04-29
4069756,2016-05-06
4069756,2016-05-10
4069756,2016-12-31
4069756,2017-05-05
4069756,2017-06-16
4069756,2017-08-14
4069756,2019-04-19
4069756,2019-07-31
4069756,2019-08-12
4069756,2019-09-22
4069756,2019-10-08
4069756,2019-11-19
4271250,2015-01-31
294281,2013-12-18
294281,2013-12-31
294281,2014-01-22
294281,2014-02-28
294281,2014-04-09
4271250,2015-02-09
4271250,2015-04-10
4271250,2015-04-19
4271250,2015-04-26
4271250,2015-05-15
4271250,2015-06-06
4271250,2015-06-11
4271250,2015-06-14
4271250,2015-07-14
4271250,2015-07-20
294281,2014-05-15
4271250,2015-07-29
4271250,2015-08-04
4271250,2015-08-08
4271250,2015-08-21
4271250,2015-08-30
4271250,2015-09-04
4271250,2015-09-08
4271250,2015-09-14
4271250,2015-09-18
4271250,2015-09-23
4271250,2015-10-14
4271250,2015-10-17
4271250,2015-10-31
4271250,2015-11-02
4271250,2015-11-09
4271250,2015-11-15
4271250,2015-11-18
4271250,2015-11-22
4271250,2015-11-27
4271250,2015-12-01
4271250,2015-12-06
4271250,2016-01-21
4271250,2016-01-24
4271250,2016-01-31
4271250,2016-02-05
4271250,2016-02-14
4271250,2016-02-16
4271250,2016-02-21
4271250,2016-02-25
4271250,2016-02-27
4271250,2016-03-10
4271250,2016-03-15
4271250,2016-03-20
4271250,2016-03-23
4271250,2016-03-25
4271250,2016-03-30
294281,2014-08-05
294281,2014-09-22
4271250,2016-04-04
4271250,2016-04-09
4271250,2016-04-13
4271250,2016-04-21
4271250,2016-04-28
4271250,2016-04-30
294281,2014-09-29
294281,2014-10-03
294281,2014-10-13
294281,2014-10-27
294281,2014-11-19
